Project_ID,Duration_Days,Skills_Required,Complexity,Client_Budget_Min,Avg_Past_Bids,Num_Bidders,Client_History,Freelancer_Exp_Years,Freelancer_Success_Rate,Urgency,Location,Client_Budget_Max,Final_Bid
1,56,Writing,Low,3494,1237.5141366384519,28,New,7,0.86,Low,Europe,4083,3098.59
2,19,Data Science,High,4125,3685.0794779410403,12,Repeat,11,0.96,Low,Other,5248,9119.58
3,76,Writing,High,3679,5241.289884921504,37,Repeat,8,0.88,Low,India,6023,5756.9
4,65,Web Dev,Low,2903,2674.468819969811,11,Repeat,3,0.89,High,USA,3129,3205.08
5,25,Data Science,High,2330,2997.3240445945057,17,Repeat,1,0.94,High,Europe,4303,4510.13
6,87,Web Dev,Low,4912,629.8047410267541,25,New,4,1.0,High,India,7152,6099.24
7,79,Graphic Design,Medium,558,396.7067379110393,22,Repeat,1,0.91,Normal,Other,3411,2067.73
8,79,Writing,Medium,1801,2891.9435525604517,41,Repeat,1,0.9,High,Other,3907,2216.5
9,28,Graphic Design,Low,726,5084.330690100634,42,New,4,0.86,Low,Other,1268,644.63
10,7,Data Science,Low,2556,5598.246991871082,37,New,8,0.97,Normal,Europe,4244,2976.64
11,26,Web Dev,Medium,306,4003.1200702484625,43,New,12,0.89,High,Europe,2428,1463.51
12,57,Data Science,Medium,3416,4984.431806107512,46,Repeat,1,0.97,Low,Europe,3744,1950.72
13,6,Graphic Design,Low,1456,4448.896851551671,24,Repeat,10,0.89,High,Other,2995,2932.01
14,34,Data Science,High,4868,4253.692087367395,22,New,10,0.85,Low,Europe,7320,8846.2
15,42,Mobile Dev,High,3696,4648.843627902538,33,Repeat,12,0.92,Low,Other,5936,6731.33
16,6,Graphic Design,Low,2039,3106.0222716039357,18,Repeat,9,0.99,Low,India,3674,3035.8
17,68,Data Science,High,2895,2828.937905456599,18,New,6,0.88,High,India,4403,5725.57
18,64,Web Dev,Medium,4468,1080.9896051148817,22,New,13,0.87,Low,India,5466,6615.99
19,25,Data Science,Medium,2773,5086.3196027423255,5,Repeat,5,0.88,High,USA,5730,6647.92
20,37,Web Dev,High,1149,410.99119860784225,24,Repeat,9,0.95,Low,Other,3763,2946.08
21,80,Mobile Dev,Low,2691,1714.5481092383752,26,New,9,0.91,High,Europe,5044,4360.58
22,62,Data Science,Medium,3889,3191.509460802515,33,Repeat,9,0.89,Normal,Other,4916,4084.56
23,26,Mobile Dev,Medium,4104,5833.8489582539905,7,Repeat,13,0.9,Low,Other,4482,6598.2
24,53,Graphic Design,Medium,190,4747.941712430998,15,Repeat,13,0.9,High,USA,2491,2351.64
25,63,Web Dev,High,575,2306.726664194474,42,Repeat,12,0.93,High,Europe,902,876.02
26,46,Graphic Design,Low,2146,4326.598084497745,39,Repeat,3,0.87,High,USA,4971,2496.91
27,64,Web Dev,High,4921,5598.510919888663,43,New,12,0.93,Low,USA,7858,6654.84
28,84,Mobile Dev,Low,3790,3302.4681914918942,39,Repeat,12,0.9,Normal,India,6659,3938.06
29,19,Writing,Low,4125,2852.3501436805536,42,Repeat,8,0.99,Low,Other,6028,3522.74
30,66,Data Science,High,3366,3385.0106428048157,46,Repeat,10,0.91,Low,Europe,5507,5277.37
31,66,Mobile Dev,Medium,4729,1972.450740750799,17,New,14,0.87,Normal,India,7451,10198.04
32,51,Web Dev,Low,2845,5457.990542502515,33,Repeat,4,0.99,Normal,USA,3568,2165.55
33,66,Web Dev,High,184,4814.09860289964,17,Repeat,4,0.99,Normal,USA,1647,1131.53
34,55,Web Dev,Medium,2739,4277.082057266671,20,New,12,0.88,Low,India,3750,4261.21
35,59,Web Dev,Low,176,3596.1886712914593,38,Repeat,7,0.97,Normal,India,1797,801.35
36,68,Data Science,Low,2530,5821.427453945302,44,Repeat,8,0.98,Normal,India,4790,2704.3
37,7,Graphic Design,Medium,3604,1891.5785174253595,22,Repeat,4,0.9,Normal,India,5638,4283.0
38,55,Writing,Low,2524,1806.3407147050698,16,New,11,0.87,Low,India,5257,4146.56
39,11,Data Science,High,2321,1566.5092472496158,27,New,10,0.97,Normal,Europe,3931,4428.81
40,25,Web Dev,Low,505,4489.389533572855,31,New,13,0.85,Low,Other,2273,980.91
41,77,Data Science,Low,2229,4814.120993264656,41,Repeat,6,0.94,Normal,Europe,2819,1933.44
42,43,Mobile Dev,Medium,4216,3643.117930575148,16,Repeat,1,0.9,Normal,Other,5456,4955.41
43,22,Web Dev,High,497,3964.104705477986,44,New,13,0.94,High,Other,695,1021.02
44,8,Writing,Medium,1900,2191.4204729473977,14,New,2,0.97,High,India,2848,3231.68
45,64,Web Dev,High,3573,382.58162346636163,28,Repeat,12,0.97,Low,Europe,4491,6287.91
46,18,Writing,Medium,1908,1633.7696853013301,24,New,5,1.0,High,Europe,4352,4148.04
47,13,Writing,Low,4026,3568.1738787129916,35,New,4,0.95,High,USA,6043,3962.92
48,57,Graphic Design,High,2044,4905.656191948674,35,Repeat,14,0.88,High,Europe,3133,4756.39
49,6,Graphic Design,High,537,4696.5906238330335,24,New,3,0.89,Low,Europe,1536,1141.61
50,88,Data Science,Low,322,1200.0010805301101,45,Repeat,11,0.92,Normal,USA,2619,1130.29
51,64,Data Science,Medium,1710,450.96032894593554,21,Repeat,14,0.98,Low,Other,2864,3401.26
52,75,Writing,High,2060,5125.7762339768415,10,New,6,0.91,High,Other,3340,5418.29
53,48,Web Dev,Low,4704,592.1970113105119,21,New,10,0.95,Low,India,7276,4675.57
54,12,Mobile Dev,Low,4100,2450.870887316039,48,Repeat,6,0.86,Low,Other,5148,2902.52
55,51,Mobile Dev,High,2764,701.2200921917567,40,New,13,0.91,Low,Other,2918,3291.83
56,39,Web Dev,High,1165,3449.6849561243494,15,New,11,0.88,Normal,Europe,2249,2984.36
57,82,Web Dev,High,1376,2275.51812244697,27,New,14,0.99,Normal,USA,3668,3613.4
58,85,Graphic Design,Low,703,1334.5876641388484,28,New,10,0.97,High,India,1844,1331.73
59,40,Mobile Dev,Medium,288,3631.730859075541,35,New,8,0.87,Normal,Europe,2344,1500.94
60,54,Writing,Medium,775,2275.841970796184,30,New,2,0.91,High,Europe,2183,1495.06
61,8,Data Science,High,737,1125.7112725666886,33,Repeat,7,0.86,Normal,Europe,3629,2802.84
62,6,Graphic Design,Low,2096,4245.505513500939,42,Repeat,7,0.96,High,USA,3438,2676.89
63,10,Mobile Dev,Low,1944,5045.328612811902,46,Repeat,2,0.88,Low,India,4709,1570.13
64,58,Web Dev,High,146,1751.3940408618464,6,New,13,0.97,High,India,590,940.99
65,8,Mobile Dev,Low,919,1240.5865179407656,5,New,6,0.86,Normal,Europe,3472,2731.36
66,58,Writing,Low,3907,590.2233926150584,24,Repeat,5,0.94,High,Other,4572,4550.23
67,67,Graphic Design,Low,3122,3238.227431660708,22,New,2,0.94,Normal,USA,4194,3009.52
68,22,Web Dev,High,1180,5013.068143518015,34,Repeat,9,0.9,Low,India,1616,1980.31
69,48,Writing,High,3246,1617.120885751878,42,Repeat,8,0.87,Low,India,4414,4509.49
70,38,Data Science,High,1377,2844.730964037999,25,New,7,0.9,Normal,India,3115,3390.11
71,78,Graphic Design,Medium,3834,1090.7002026695118,17,New,14,0.92,High,Other,5905,7644.08
72,66,Writing,Medium,2317,2514.5748203627218,33,New,6,1.0,Low,Other,4332,3047.55
73,18,Writing,High,2986,240.35387919953013,20,New,5,0.92,High,USA,4551,6719.41
74,52,Web Dev,Low,895,5477.765046942699,27,New,13,0.88,Low,Other,2147,1459.47
75,19,Data Science,Low,3428,4107.945585753327,4,New,9,0.85,Low,Other,3710,3957.14
76,76,Writing,High,3106,2096.9602481634147,36,New,5,0.85,High,Europe,3439,4243.16
77,82,Graphic Design,Low,3284,5305.009821327736,40,New,13,0.91,Normal,Other,4708,3943.3
78,66,Writing,Low,2489,1220.1383321833089,19,New,6,0.89,Normal,India,4949,3237.27
79,44,Mobile Dev,Medium,4243,610.5923313556948,8,New,3,0.87,Normal,USA,6151,5613.79
80,89,Graphic Design,Low,3958,5664.3362497034705,33,Repeat,9,0.88,Normal,Europe,6390,3687.26
81,84,Graphic Design,Low,1318,1957.7492261549785,25,New,11,0.9,High,Europe,3995,2942.08
82,86,Writing,High,1860,5625.444355534453,17,Repeat,14,0.95,High,USA,3611,6703.37
83,57,Web Dev,Medium,824,3880.0355777459195,25,Repeat,8,0.94,Low,Europe,2340,1596.72
84,28,Graphic Design,Medium,1444,5883.2511569705075,5,Repeat,9,0.86,Low,Europe,4193,3630.47
85,30,Mobile Dev,Low,237,4557.560891442659,46,New,1,0.87,Low,USA,2481,635.27
86,64,Web Dev,High,4550,767.0806215305435,33,Repeat,1,0.99,High,Europe,5749,5612.14
87,45,Web Dev,Medium,3654,5135.537701806572,43,Repeat,13,0.86,Low,Other,6420,5348.79
88,33,Web Dev,Medium,2859,1015.0893567886145,35,New,2,0.88,High,USA,3613,2567.48
89,19,Graphic Design,Low,158,4199.355993779736,20,New,4,0.9,High,India,1653,757.06
90,49,Web Dev,Medium,870,3077.3835791266806,15,New,10,0.88,High,USA,3479,3900.28
91,69,Writing,High,488,4290.191297645231,39,New,5,0.89,Low,Other,596,576.7
92,75,Web Dev,High,4024,4625.18876610896,14,New,13,0.96,Normal,Other,5306,8152.34
93,13,Mobile Dev,Medium,3522,4851.4414867679,23,New,7,0.86,High,India,5255,6431.87
94,5,Data Science,High,4534,5034.633776269933,32,Repeat,4,0.9,Low,Other,6043,4601.13
95,12,Mobile Dev,High,4952,5106.263451065416,45,Repeat,13,0.94,Low,India,5153,6659.44
96,67,Graphic Design,Low,695,2563.560395156155,45,Repeat,1,0.86,Normal,India,903,461.94
97,15,Web Dev,Medium,535,5351.984222324414,31,New,8,0.86,High,USA,1248,1254.86
98,85,Web Dev,Medium,1573,4359.5444832416815,24,Repeat,11,0.92,High,USA,4098,3720.99
99,12,Writing,Low,4572,5057.979948797189,13,New,3,0.98,Low,USA,5312,4213.95
100,39,Web Dev,Low,2082,5936.76941425791,44,New,9,0.92,High,India,4862,2485.58
101,39,Mobile Dev,Low,2538,831.0262414754226,15,New,2,0.91,Normal,Europe,4236,3254.59
102,37,Graphic Design,Low,2968,2317.8912314596373,37,Repeat,11,0.85,High,Europe,4855,4217.85
103,9,Data Science,High,4309,4868.300071131651,46,Repeat,1,0.96,Low,USA,5413,3696.91
104,45,Web Dev,High,3917,654.8753076681089,9,New,10,0.87,High,Europe,6098,10146.35
105,32,Data Science,Low,873,3313.5692330138922,25,Repeat,8,0.95,High,India,3725,2443.99
106,11,Web Dev,Medium,2026,5171.6280597295645,4,Repeat,14,0.9,High,India,3886,6121.66
107,77,Graphic Design,Medium,2319,261.09888976776995,15,Repeat,3,0.86,High,Other,2786,3535.85
108,76,Mobile Dev,Medium,117,5646.185556570574,12,Repeat,1,0.9,Low,Other,1761,971.57
109,16,Graphic Design,Low,4430,5872.147219841926,46,New,11,0.95,Low,Europe,4792,3189.58
110,38,Data Science,High,4066,2035.3434387931927,39,New,3,0.97,High,Europe,5747,5105.28
111,37,Web Dev,High,1792,4635.728469631799,29,Repeat,8,0.95,Low,Other,4283,4197.68
112,52,Data Science,High,2870,893.9802005870409,24,Repeat,11,0.96,Low,India,3658,5547.24
113,27,Mobile Dev,High,4476,4671.2559825839735,19,New,4,0.89,Low,USA,5351,7032.93
114,66,Graphic Design,Medium,3367,2966.9018328789302,21,New,10,0.99,High,USA,4295,5246.28
115,41,Data Science,Medium,1238,5182.5975093900415,34,Repeat,11,0.88,High,Europe,3549,2992.51
116,48,Data Science,High,1795,1393.7475995657749,3,New,7,0.88,High,Europe,3816,6321.67
117,39,Mobile Dev,Low,1686,4085.0490264671007,40,Repeat,8,0.89,High,Other,2160,1569.3
118,69,Web Dev,High,4613,4748.797170332727,38,Repeat,7,1.0,Normal,USA,6236,6533.17
119,51,Data Science,High,2431,1334.579751726117,27,New,1,0.86,High,Other,4623,4406.94
120,82,Mobile Dev,Low,4780,4936.980573783456,3,New,4,0.97,High,Other,5507,5800.4
121,7,Web Dev,High,2769,5754.215180509935,4,Repeat,13,0.87,High,Europe,4134,10018.21
122,5,Web Dev,Medium,2368,3754.0598095356913,21,Repeat,13,0.97,Normal,Europe,4975,5246.61
123,9,Graphic Design,Low,2156,4741.37493822472,11,New,10,0.89,High,Other,4322,4154.55
124,18,Mobile Dev,Low,2522,3265.6155772539273,43,Repeat,9,0.96,Normal,Europe,3953,2635.08
125,31,Web Dev,High,4729,3648.90466182444,22,Repeat,7,0.86,Normal,India,6585,9702.37
126,13,Graphic Design,Medium,3586,228.1117419752236,41,Repeat,12,0.9,High,Other,5432,5426.65
127,83,Writing,Medium,2849,3217.0805109907587,10,Repeat,1,0.92,High,USA,5795,4744.7
128,19,Mobile Dev,Medium,4141,3517.047936470635,3,Repeat,8,0.85,Normal,Other,4287,5441.89
129,46,Writing,High,2924,4069.778142727511,29,New,4,0.88,Low,Europe,4780,4333.31
130,81,Web Dev,High,1505,1140.9350616712286,4,Repeat,14,0.88,Normal,Europe,4471,8505.02
131,55,Mobile Dev,Medium,1986,1562.0394349527912,17,Repeat,14,0.92,Normal,Europe,4956,5668.21
132,67,Graphic Design,High,3087,4572.627095399737,5,Repeat,14,0.87,High,Europe,5717,10654.72
133,56,Web Dev,Medium,3675,1130.6870971600888,24,New,12,1.0,High,Europe,4051,5824.69
